Field1,x,y,inclusion_,ID,DropC,Latitude,Longitude,Sample
"253",-1283148.76133999997,-3960953.45697999978,1.00000000000,54537959.00000000000,"253",-34.54300000000,119.93900000000,Br1
"769",-1302075.79951999988,-3929309.81502000010,1.00000000000,53045887.00000000000,"769",-34.23910000000,119.77300000000,Br2
"1148",-1271615.09745000000,-3954743.02257000003,1.00000000000,54245174.00000000000,"1148",-34.49870000000,120.07200000000,Br3
"1268",-1300301.38969000010,-3922212.17570000002,1.00000000000,52711237.00000000000,"1268",-34.17710000000,119.80100000000,Br4
"2088",-1301188.59461000003,-3973078.59080999997,1.00000000000,55109602.00000000000,"2088",-34.63360000000,119.72800000000,Br5
"2235",-1294682.42522999994,-3951489.93789000018,1.00000000000,54091712.00000000000,"2235",-34.44620000000,119.82500000000,Br6
"2819",-1310652.11370000010,-3976627.41047000000,1.00000000000,55276898.00000000000,"2819",-34.65580000000,119.62100000000,Br7
"3330",-1290837.87060000002,-3949124.05811000010,1.00000000000,53980173.00000000000,"3330",-34.42880000000,119.87000000000,Br8
"3542",-1293795.22032000008,-3959770.51709000021,1.00000000000,54482147.00000000000,"3542",-34.52160000000,119.82500000000,Br9
"3691",-1307399.02900999994,-3938181.86416999996,1.00000000000,53464189.00000000000,"3691",-34.31350000000,119.70400000000,Br10
"4639",-1289655.00000000000,-3956517.00000000000,1.00000000000,54328777.00000000000,"4639",-34.49650000000,119.87400000000,Br11
"5159",-1299710.00000000000,-3936703.00000000000,1.00000000000,53394495.00000000000,"5159",-34.30810000000,119.78900000000,Br12
"5643",-1306808.00000000000,-3921916.00000000000,1.00000000000,52697271.00000000000,"5643",-34.16780000000,119.73000000000,Br13
"6450",-1300006.00000000000,-3968643.00000000000,1.00000000000,54900446.00000000000,"6450",-34.59500000000,119.74600000000,Br14
"6602",-1303259.00000000000,-3947941.00000000000,1.00000000000,53924355.00000000000,"6602",-34.40550000000,119.73700000000,Br15
"7565",-1285515.00000000000,-3966277.00000000000,1.00000000000,54788943.00000000000,"7565",-34.58850000000,119.90700000000,Br16
"7722",-1277826.00000000000,-3952673.00000000000,1.00000000000,54147545.00000000000,"7722",-34.47390000000,120.00700000000,Br17
"7936",-1305033.00000000000,-3955630.00000000000,1.00000000000,54286893.00000000000,"7936",-34.47280000000,119.70800000000,Br18
"8098",-1295865.00000000000,-3945575.00000000000,1.00000000000,53812828.00000000000,"8098",-34.39180000000,119.82000000000,Br19
"8674",-1311835.00000000000,-3971304.00000000000,1.00000000000,55025902.00000000000,"8674",-34.60670000000,119.61500000000,Br20
"9036",-1277234.00000000000,-3963911.00000000000,1.00000000000,54677419.00000000000,"9036",-34.57560000000,120.00000000000,Br21
"9562",-1305329.00000000000,-3932267.00000000000,1.00000000000,53185316.00000000000,"9562",-34.26240000000,119.73400000000,Br22
"9930",-1276051.00000000000,-3947350.00000000000,1.00000000000,53896559.00000000000,"9930",-34.42780000000,120.03300000000,Br23
"10874",-1306808.00000000000,-3965389.00000000000,1.00000000000,54747039.00000000000,"10874",-34.55880000000,119.67700000000,Br24
"11025",-1297640.00000000000,-3954447.00000000000,1.00000000000,54231142.00000000000,"11025",-34.46980000000,119.79000000000,Br25
"11240",-1274868.00000000000,-3958292.00000000000,1.00000000000,54412491.00000000000,"11240",-34.52740000000,120.03200000000,Br26
"12131",-1287585.00000000000,-3952081.00000000000,1.00000000000,54119624.00000000000,"12131",-34.45870000000,119.90200000000,Br27
"12341",-1297936.00000000000,-3962728.00000000000,1.00000000000,54621573.00000000000,"12341",-34.54390000000,119.77600000000,Br28
"12496",-1301189.00000000000,-3941139.00000000000,1.00000000000,53603650.00000000000,"12496",-34.34650000000,119.76800000000,Br29
"13456",-1288176.00000000000,-3959475.00000000000,1.00000000000,54468222.00000000000,"13456",-34.52460000000,119.88600000000,Br30
"13818",-1302963.00000000000,-3973966.00000000000,1.00000000000,55151428.00000000000,"13818",-34.63980000000,119.70800000000,Br31
"14462",-1303554.00000000000,-3924874.00000000000,1.00000000000,52836722.00000000000,"14462",-34.19770000000,119.76200000000,Br32
"14548",-1309765.00000000000,-3957109.00000000000,1.00000000000,54356597.00000000000,"14548",-34.48130000000,119.65500000000,Br33
"15279",-1294387.00000000000,-3971600.00000000000,1.00000000000,55039905.00000000000,"15279",-34.62730000000,119.80400000000,Br34
"15433",-1308582.00000000000,-3951194.00000000000,1.00000000000,54077721.00000000000,"15433",-34.42930000000,119.67500000000,Br35
"16376",-1290246.00000000000,-3969234.00000000000,1.00000000000,54928367.00000000000,"16376",-34.61030000000,119.85200000000,Br36
"16529",-1281079.00000000000,-3947645.00000000000,1.00000000000,53910486.00000000000,"16529",-34.42540000000,119.97800000000,Br37
"16744",-1307695.00000000000,-3958292.00000000000,1.00000000000,54412380.00000000000,"16744",-34.49400000000,119.67600000000,Br38
"16903",-1300006.00000000000,-3937886.00000000000,1.00000000000,53450270.00000000000,"16903",-34.31840000000,119.78400000000,Br39
"17835",-1282557.00000000000,-3955926.00000000000,1.00000000000,54300913.00000000000,"17835",-34.49840000000,119.95200000000,Br40
"18358",-1305033.00000000000,-3935816.00000000000,1.00000000000,53352645.00000000000,"18358",-34.29460000000,119.73300000000,Br41
"18734",-1270136.00000000000,-3950011.00000000000,1.00000000000,54022075.00000000000,"18734",-34.45770000000,120.09400000000,Br42
"19682",-1303850.00000000000,-3968347.00000000000,1.00000000000,54886489.00000000000,"19682",-34.58840000000,119.70500000000,Br43
"19836",-1296457.00000000000,-3946758.00000000000,1.00000000000,53868602.00000000000,"19836",-34.40180000000,119.81200000000,Br44
"20053",-1269249.00000000000,-3961249.00000000000,1.00000000000,54551950.00000000000,"20053",-34.55960000000,120.09000000000,Br45
"20333",-1301780.00000000000,-3918072.00000000000,1.00000000000,52516016.00000000000,"20333",-34.13830000000,119.79000000000,Br46
"20424",-1312131.00000000000,-3974853.00000000000,1.00000000000,55193229.00000000000,"20424",-34.63830000000,119.60700000000,Br47
"20780",-1278713.00000000000,-3964798.00000000000,1.00000000000,54719246.00000000000,"20780",-34.58200000000,119.98300000000,Br48
"20938",-1292317.00000000000,-3955334.00000000000,1.00000000000,54272992.00000000000,"20938",-34.48320000000,119.84600000000,Br49
"21057",-1310356.00000000000,-3922804.00000000000,1.00000000000,52739091.00000000000,"21057",-34.17210000000,119.69100000000,Br50
"21144",-1295274.00000000000,-3957996.00000000000,1.00000000000,54398478.00000000000,"21144",-34.50410000000,119.81100000000,Br51
"21306",-1306512.00000000000,-3944392.00000000000,1.00000000000,53757016.00000000000,"21306",-34.37030000000,119.70600000000,Br52
"22257",-1291429.00000000000,-3962432.00000000000,1.00000000000,54607651.00000000000,"22257",-34.54790000000,119.84700000000,Br53
"22626",-1305625.00000000000,-3977219.00000000000,1.00000000000,55304803.00000000000,"22626",-34.66630000000,119.67500000000,Br54
"22784",-1298231.00000000000,-3931380.00000000000,1.00000000000,53143508.00000000000,"22784",-34.26170000000,119.81200000000,Br55
"23270",-1308286.00000000000,-3927831.00000000000,1.00000000000,52976146.00000000000,"23270",-34.21950000000,119.70700000000,Br56
"24095",-1297048.00000000000,-3966868.00000000000,1.00000000000,54816792.00000000000,"24095",-34.58210000000,119.78100000000,Br57
"24248",-1302963.00000000000,-3954152.00000000000,1.00000000000,54217180.00000000000,"24248",-34.46170000000,119.73200000000,Br58
"24754",-1300597.00000000000,-3914523.00000000000,1.00000000000,52348692.00000000000,"24754",-34.10760000000,119.80700000000,Br59
"24991",-1309765.00000000000,-3936112.00000000000,1.00000000000,53366573.00000000000,"24991",-34.29240000000,119.68100000000,Br60
"25348",-1280487.00000000000,-3950898.00000000000,1.00000000000,54063872.00000000000,"25348",-34.45530000000,119.98000000000,Br61
"25562",-1301780.00000000000,-3961545.00000000000,1.00000000000,54565784.00000000000,"25562",-34.52940000000,119.73600000000,Br62
"26294",-1310061.00000000000,-3968938.00000000000,1.00000000000,54914356.00000000000,"26294",-34.58730000000,119.63700000000,Br63
"26656",-1279896.00000000000,-3959475.00000000000,1.00000000000,54468250.00000000000,"26656",-34.53300000000,119.97600000000,Br64
"27185",-1307695.00000000000,-3930493.00000000000,1.00000000000,53101644.00000000000,"27185",-34.24400000000,119.71000000000,Br65
"27561",-1273094.00000000000,-3952969.00000000000,1.00000000000,54161505.00000000000,"27561",-34.48130000000,120.05800000000,Br66
"28501",-1308286.00000000000,-3971304.00000000000,1.00000000000,55025914.00000000000,"28501",-34.61040000000,119.65300000000,Br67
"28659",-1299118.00000000000,-3949716.00000000000,1.00000000000,54008033.00000000000,"28659",-34.42570000000,119.78000000000,Br68
"29584",-1281670.00000000000,-3968051.00000000000,0.37445830000,54872620.00000000000,"29584",-34.60830000000,119.94700000000,Br69
"29750",-1286106.00000000000,-3946462.00000000000,1.00000000000,53854693.00000000000,"29750",-34.40970000000,119.92500000000,Br70
"29958",-1300893.00000000000,-3960953.00000000000,1.00000000000,54537899.00000000000,"29958",-34.52490000000,119.74600000000,Br71
"30113",-1303850.00000000000,-3939069.00000000000,1.00000000000,53506033.00000000000,"30113",-34.32510000000,119.74100000000,Br72
"30857",-1312131.00000000000,-3955039.00000000000,1.00000000000,54258981.00000000000,"30857",-34.46020000000,119.63200000000,Br73
"31074",-1284923.00000000000,-3957700.00000000000,1.00000000000,54384569.00000000000,"31074",-34.51200000000,119.92400000000,Br74
"31231",-1278713.00000000000,-3944984.00000000000,1.00000000000,53784998.00000000000,"31231",-34.40380000000,120.00700000000,Br75
"32090",-1302372.00000000000,-3918959.00000000000,1.00000000000,52557846.00000000000,"32090",-34.14570000000,119.78200000000,Br76
"32183",-1311244.00000000000,-3963319.00000000000,1.00000000000,54649416.00000000000,"32183",-34.53560000000,119.63100000000,Br77
"32914",-1296457.00000000000,-3969826.00000000000,1.00000000000,54956234.00000000000,"32914",-34.60920000000,119.78400000000,Br78
"33063",-1305625.00000000000,-3948828.00000000000,1.00000000000,53966179.00000000000,"33063",-34.41110000000,119.71000000000,Br79
"33995",-1292612.00000000000,-3967460.00000000000,1.00000000000,54844695.00000000000,"33995",-34.59190000000,119.82800000000,Br80
"34150",-1283444.00000000000,-3953856.00000000000,1.00000000000,54203302.00000000000,"34150",-34.47890000000,119.94500000000,Br81
"34358",-1306216.00000000000,-3956517.00000000000,1.00000000000,54328721.00000000000,"34358",-34.47960000000,119.69400000000,Br82
"34520",-1297048.00000000000,-3943801.00000000000,1.00000000000,53729160.00000000000,"34520",-34.37460000000,119.80900000000,Br83
"35467",-1284036.00000000000,-3962432.00000000000,1.00000000000,54607676.00000000000,"35467",-34.55540000000,119.92800000000,Br84
"35988",-1302076.00000000000,-3933450.00000000000,1.00000000000,53241103.00000000000,"35988",-34.27640000000,119.76700000000,Br85
"36371",-1272502.00000000000,-3948237.00000000000,1.00000000000,53938403.00000000000,"36371",-34.43930000000,120.07000000000,Br86
"36489",-1299710.00000000000,-3926648.00000000000,1.00000000000,52920399.00000000000,"36489",-34.21760000000,119.80100000000,Br87
"37310",-1302372.00000000000,-3966277.00000000000,1.00000000000,54788886.00000000000,"37310",-34.57130000000,119.72400000000,Br88
"37468",-1293204.00000000000,-3952673.00000000000,1.00000000000,54147493.00000000000,"37468",-34.45830000000,119.84000000000,Br89
"37693",-1271319.00000000000,-3955334.00000000000,1.00000000000,54273063.00000000000,"37693",-34.50440000000,120.07500000000,Br90
"37971",-1303259.00000000000,-3913340.00000000000,1.00000000000,52292907.00000000000,"37971",-34.09420000000,119.77900000000,Br91
"38569",-1289359.00000000000,-3949420.00000000000,1.00000000000,53994122.00000000000,"38569",-34.43300000000,119.88600000000,Br92
"38776",-1294682.00000000000,-3963911.00000000000,1.00000000000,54677360.00000000000,"38776",-34.55790000000,119.81000000000,Br93
"38935",-1308286.00000000000,-3942026.00000000000,1.00000000000,53645458.00000000000,"38935",-34.34720000000,119.69000000000,Br94
"39866",-1290542.00000000000,-3960658.00000000000,1.00000000000,54523990.00000000000,"39866",-34.53290000000,119.85900000000,Br95
"40227",-1307103.00000000000,-3975149.00000000000,1.00000000000,55207190.00000000000,"40227",-34.64620000000,119.66100000000,Br96
"40379",-1300893.00000000000,-3929014.00000000000,1.00000000000,53031947.00000000000,"40379",-34.23770000000,119.78600000000,Br97
"40864",-1305625.00000000000,-3922212.00000000000,1.00000000000,52711219.00000000000,"40864",-34.17160000000,119.74300000000,Br98
"41685",-1299710.00000000000,-3972783.00000000000,1.00000000000,55095663.00000000000,"41685",-34.63250000000,119.74500000000,Br99
"41833",-1304442.00000000000,-3952081.00000000000,1.00000000000,54119567.00000000000,"41833",-34.44150000000,119.71900000000,Br100
"42924",-1277826.00000000000,-3948533.00000000000,1.00000000000,53952329.00000000000,"42924",-34.43670000000,120.01200000000,Br101
"43139",-1303554.00000000000,-3959475.00000000000,1.00000000000,54468170.00000000000,"43139",-34.50890000000,119.71900000000,Br102
"43297",-1296753.00000000000,-3939069.00000000000,1.00000000000,53506057.00000000000,"43297",-34.33240000000,119.81800000000,Br103
"43865",-1312722.00000000000,-3967164.00000000000,1.00000000000,54830683.00000000000,"43865",-34.56860000000,119.61000000000,Br104
"44227",-1278121.00000000000,-3957109.00000000000,1.00000000000,54356704.00000000000,"44227",-34.51350000000,119.99800000000,Br105
"44762",-1305920.00000000000,-3936703.00000000000,1.00000000000,53394474.00000000000,"44762",-34.30170000000,119.72200000000,Br106
"45135",-1275755.00000000000,-3951194.00000000000,1.00000000000,54077832.00000000000,"45135",-34.46270000000,120.03100000000,Br107
"46076",-1305329.00000000000,-3969530.00000000000,1.00000000000,54942260.00000000000,"46076",-34.59750000000,119.68800000000,Br108
"46230",-1298823.00000000000,-3947941.00000000000,1.00000000000,53924370.00000000000,"46230",-34.41010000000,119.78500000000,Br109
"46444",-1276347.00000000000,-3958588.00000000000,1.00000000000,54426430.00000000000,"46444",-34.52860000000,120.01600000000,Br110
"47177",-1283149.00000000000,-3965981.00000000000,1.00000000000,54775007.00000000000,"47177",-34.58820000000,119.93300000000,Br111
"47339",-1288768.00000000000,-3952377.00000000000,1.00000000000,54133564.00000000000,"47339",-34.46020000000,119.88900000000,Br112
"47548",-1297936.00000000000,-3956222.00000000000,1.00000000000,54314805.00000000000,"47548",-34.48540000000,119.78400000000,Br113
"47701",-1302372.00000000000,-3945575.00000000000,1.00000000000,53812806.00000000000,"47701",-34.38510000000,119.74900000000,Br114
"48438",-1309173.00000000000,-3950011.00000000000,1.00000000000,54021943.00000000000,"48438",-34.41810000000,119.67000000000,Br115
"48657",-1287585.00000000000,-3963615.00000000000,1.00000000000,54663440.00000000000,"48657",-34.56240000000,119.88800000000,Br116
"49676",-1305033.00000000000,-3925170.00000000000,1.00000000000,52850661.00000000000,"49676",-34.19890000000,119.74600000000,Br117
"49764",-1310948.00000000000,-3961249.00000000000,1.00000000000,54551809.00000000000,"49764",-34.51730000000,119.63700000000,Br118
"50496",-1293795.00000000000,-3965094.00000000000,1.00000000000,54733139.00000000000,"50496",-34.56940000000,119.81800000000,Br119
"50652",-1307399.00000000000,-3955039.00000000000,1.00000000000,54258997.00000000000,"50652",-34.46510000000,119.68300000000,Br120
"51040",-1273685.00000000000,-3944392.00000000000,1.00000000000,53757127.00000000000,"51040",-34.40360000000,120.06200000000,Br121
"51758",-1281966.00000000000,-3951786.00000000000,1.00000000000,54105699.00000000000,"51758",-34.46180000000,119.96300000000,Br122
"51968",-1308878.00000000000,-3962728.00000000000,1.00000000000,54621536.00000000000,"51968",-34.53270000000,119.65700000000,Br123
"52128",-1300006.00000000000,-3942026.00000000000,1.00000000000,53645486.00000000000,"52128",-34.35560000000,119.77900000000,Br124
"53064",-1281079.00000000000,-3960362.00000000000,1.00000000000,54510078.00000000000,"53064",-34.53980000000,119.96200000000,Br125
"53584",-1303259.00000000000,-3928718.00000000000,1.00000000000,53017995.00000000000,"53584",-34.23260000000,119.76000000000,Br126
"53956",-1269249.00000000000,-3954152.00000000000,1.00000000000,54217294.00000000000,"53956",-34.49580000000,120.09800000000,Br127
"54080",-1297936.00000000000,-3924282.00000000000,1.00000000000,52808853.00000000000,"54080",-34.19810000000,119.82400000000,Br128
"54901",-1304737.00000000000,-3972487.00000000000,1.00000000000,55081702.00000000000,"54901",-34.62470000000,119.69000000000,Br129
"55048",-1295570.00000000000,-3950603.00000000000,1.00000000000,54049877.00000000000,"55048",-34.43730000000,119.81700000000,Br130
"55261",-1270136.00000000000,-3961545.00000000000,1.00000000000,54565891.00000000000,"55261",-34.56140000000,120.08000000000,Br131
"55634",-1311835.00000000000,-3978698.00000000000,1.00000000000,55374502.00000000000,"55634",-34.67320000000,119.60500000000,Br132
"56139",-1291429.00000000000,-3947645.00000000000,1.00000000000,53910451.00000000000,"56139",-34.41490000000,119.86600000000,Br133
"56257",-1309765.00000000000,-3926648.00000000000,1.00000000000,52920365.00000000000,"56257",-34.20730000000,119.69300000000,Br134
"56344",-1296161.00000000000,-3959179.00000000000,1.00000000000,54454251.00000000000,"56344",-34.51380000000,119.80000000000,Br135
"56495",-1305033.00000000000,-3937590.00000000000,1.00000000000,53436309.00000000000,"56495",-34.31060000000,119.73000000000,Br136
"57219",-1314792.00000000000,-3953264.00000000000,1.00000000000,54175308.00000000000,"57219",-34.44150000000,119.60500000000,Br137
"57428",-1292021.00000000000,-3955926.00000000000,1.00000000000,54300881.00000000000,"57428",-34.48880000000,119.84900000000,Br138
"57579",-1283149.00000000000,-3946167.00000000000,1.00000000000,53840759.00000000000,"57579",-34.41000000000,119.95700000000,Br139
"57947",-1297640.00000000000,-3935225.00000000000,1.00000000000,53324782.00000000000,"57947",-34.29690000000,119.81300000000,Br140
"58430",-1307695.00000000000,-3919846.00000000000,1.00000000000,52599660.00000000000,"58430",-34.14820000000,119.72300000000,Br141
"58516",-1313609.00000000000,-3964502.00000000000,1.00000000000,54705184.00000000000,"58516",-34.54380000000,119.60400000000,Br142
"59250",-1298527.00000000000,-3968051.00000000000,1.00000000000,54872563.00000000000,"59250",-34.59120000000,119.76300000000,Br143
"59399",-1301484.00000000000,-3946462.00000000000,1.00000000000,53854641.00000000000,"59399",-34.39400000000,119.75800000000,Br144
"59895",-1299118.00000000000,-3918663.00000000000,1.00000000000,52543913.00000000000,"59895",-34.14630000000,119.81800000000,Br145
"60344",-1288176.00000000000,-3964798.00000000000,1.00000000000,54719214.00000000000,"60344",-34.57250000000,119.88000000000,Br146
"60501",-1279304.00000000000,-3954743.00000000000,1.00000000000,54245148.00000000000,"60501",-34.49100000000,119.98800000000,Br147
"60716",-1302667.00000000000,-3957700.00000000000,1.00000000000,54384509.00000000000,"60716",-34.49390000000,119.73100000000,Br148
"61446",-1310061.00000000000,-3973079.00000000000,1.00000000000,55109572.00000000000,"61446",-34.62450000000,119.63200000000,Br149
"61805",-1280487.00000000000,-3963319.00000000000,1.00000000000,54649520.00000000000,"61805",-34.56700000000,119.96500000000,Br150
"62332",-1308878.00000000000,-3931676.00000000000,1.00000000000,53157416.00000000000,"62332",-34.25340000000,119.69600000000,Br151
"62703",-1273981.00000000000,-3949124.00000000000,1.00000000000,53980230.00000000000,"62703",-34.44580000000,120.05300000000,Br152
"63640",-1307990.00000000000,-3967164.00000000000,1.00000000000,54830699.00000000000,"63640",-34.57350000000,119.66200000000,Br153
"63795",-1300597.00000000000,-3953560.00000000000,1.00000000000,54189300.00000000000,"63795",-34.45880000000,119.75900000000,Br154
"64010",-1273390.00000000000,-3956517.00000000000,1.00000000000,54328832.00000000000,"64010",-34.51290000000,120.05100000000,Br155
"64890",-1285810.00000000000,-3950603.00000000000,1.00000000000,54049910.00000000000,"64890",-34.44720000000,119.92300000000,Br156
"65095",-1299414.00000000000,-3962136.00000000000,1.00000000000,54593680.00000000000,"65095",-34.53710000000,119.76100000000,Br157
"65251",-1304737.00000000000,-3940548.00000000000,1.00000000000,53575750.00000000000,"65251",-34.33750000000,119.73000000000,Br158
"66200",-1286402.00000000000,-3958883.00000000000,1.00000000000,54440340.00000000000,"66200",-34.52110000000,119.90600000000,Br159
"67211",-1301780.00000000000,-3923099.00000000000,1.00000000000,52753064.00000000000,"67211",-34.18360000000,119.78300000000,Br160
"67301",-1312427.00000000000,-3955630.00000000000,1.00000000000,54286868.00000000000,"67301",-34.46520000000,119.62800000000,Br161
"68044",-1294978.00000000000,-3971008.00000000000,1.00000000000,55012015.00000000000,"68044",-34.62140000000,119.79800000000,Br162
"68196",-1307103.00000000000,-3949124.00000000000,1.00000000000,53980118.00000000000,"68196",-34.41220000000,119.69400000000,Br163
"69142",-1291134.00000000000,-3967755.00000000000,1.00000000000,54858644.00000000000,"69142",-34.59610000000,119.84400000000,Br164
"69294",-1284627.00000000000,-3947054.00000000000,1.00000000000,53882586.00000000000,"69294",-34.41650000000,119.94000000000,Br165
"69512",-1305920.00000000000,-3960658.00000000000,1.00000000000,54523938.00000000000,"69512",-34.51710000000,119.69200000000,Br166
"69670",-1298231.00000000000,-3939956.00000000000,1.00000000000,53547884.00000000000,"69670",-34.33880000000,119.80100000000,Br167
"70620",-1283740.00000000000,-3957996.00000000000,1.00000000000,54398517.00000000000,"70620",-34.51580000000,119.93600000000,Br168
"71143",-1302667.00000000000,-3934929.00000000000,1.00000000000,53310821.00000000000,"71143",-34.28910000000,119.75900000000,Br169
"71523",-1271024.00000000000,-3952081.00000000000,1.00000000000,54119680.00000000000,"71523",-34.47540000000,120.08200000000,Br170
"71639",-1300893.00000000000,-3919551.00000000000,1.00000000000,52585739.00000000000,"71639",-34.15250000000,119.79700000000,Br171
"72454",-1301484.00000000000,-3970417.00000000000,1.00000000000,54984105.00000000000,"72454",-34.60940000000,119.72800000000,Br172
"72609",-1294091.00000000000,-3948828.00000000000,1.00000000000,53966218.00000000000,"72609",-34.42290000000,119.83500000000,Br173
"72823",-1272798.00000000000,-3959771.00000000000,1.00000000000,54482218.00000000000,"72823",-34.54280000000,120.05300000000,Br174
"73092",-1304442.00000000000,-3917185.00000000000,1.00000000000,52474175.00000000000,"73092",-34.12760000000,119.76200000000,Br175
"73180",-1310652.00000000000,-3974262.00000000000,1.00000000000,55165346.00000000000,"73180",-34.63450000000,119.62400000000,Br176
"73540",-1279600.00000000000,-3966868.00000000000,0.37445830000,54816851.00000000000,"73540",-34.59980000000,119.97100000000,Br177
"73707",-1290246.00000000000,-3953264.00000000000,1.00000000000,54175391.00000000000,"73707",-34.46670000000,119.87100000000,Br178
"73917",-1293204.00000000000,-3957405.00000000000,1.00000000000,54370597.00000000000,"73917",-34.50090000000,119.83400000000,Br179
"74076",-1307990.00000000000,-3943801.00000000000,1.00000000000,53729123.00000000000,"74076",-34.36340000000,119.69100000000,Br180
"75022",-1289063.00000000000,-3961841.00000000000,1.00000000000,54579771.00000000000,"75022",-34.54500000000,119.87400000000,Br181
"75397",-1308582.00000000000,-3979289.00000000000,0.37445830000,55402401.00000000000,"75397",-34.68190000000,119.64000000000,Br182
"75550",-1299414.00000000000,-3933154.00000000000,1.00000000000,53227168.00000000000,"75550",-34.27640000000,119.79700000000,Br183
"76039",-1306216.00000000000,-3926057.00000000000,1.00000000000,52892489.00000000000,"76039",-34.20560000000,119.73200000000,Br184
"76844",-1300597.00000000000,-3966277.00000000000,1.00000000000,54788892.00000000000,"76844",-34.57310000000,119.74300000000,Br185
"76992",-1303554.00000000000,-3952673.00000000000,1.00000000000,54147458.00000000000,"76992",-34.44780000000,119.72800000000,Br186
"78087",-1278713.00000000000,-3950307.00000000000,1.00000000000,54035990.00000000000,"78087",-34.45170000000,120.00000000000,Br187
"78299",-1304146.00000000000,-3963615.00000000000,1.00000000000,54663384.00000000000,"78299",-34.54550000000,119.70800000000,Br188
"79033",-1311539.00000000000,-3968347.00000000000,1.00000000000,54886463.00000000000,"79033",-34.58050000000,119.62100000000,Br189
"79389",-1277530.00000000000,-3961249.00000000000,1.00000000000,54551922.00000000000,"79389",-34.55130000000,120.00000000000,Br190
"79673",-1309173.00000000000,-3918072.00000000000,1.00000000000,52515991.00000000000,"79673",-34.13070000000,119.71000000000,Br191
"79917",-1305920.00000000000,-3929606.00000000000,1.00000000000,53059818.00000000000,"79917",-34.23790000000,119.73100000000,Br192
"80295",-1276347.00000000000,-3955039.00000000000,1.00000000000,54259102.00000000000,"80295",-34.49670000000,120.02000000000,Br193
"81242",-1306216.00000000000,-3973374.00000000000,1.00000000000,55123529.00000000000,"81242",-34.63110000000,119.67300000000,Br194
"81397",-1297344.00000000000,-3951786.00000000000,1.00000000000,54105647.00000000000,"81397",-34.44610000000,119.79600000000,Br195
"81620",-1275460.00000000000,-3962728.00000000000,1.00000000000,54621649.00000000000,"81620",-34.56670000000,120.02100000000,Br196
"82506",-1287289.00000000000,-3948533.00000000000,1.00000000000,53952297.00000000000,"82506",-34.42710000000,119.90900000000,Br197
"82717",-1298823.00000000000,-3960362.00000000000,1.00000000000,54510018.00000000000,"82717",-34.52180000000,119.77000000000,Br198
"82868",-1301780.00000000000,-3938478.00000000000,1.00000000000,53478152.00000000000,"82868",-34.32190000000,119.76400000000,Br199
"83604",-1310356.00000000000,-3954152.00000000000,1.00000000000,54217155.00000000000,"83604",-34.45410000000,119.65200000000,Br200
