sample,latitude,longitude,date,time,site,location,successful.count,fov.Limited,fov.Open,mean.relief,sd.relief,broad.Ascidians,broad.Bryozoa,broad.Macroalgae,broad.Octocoral/Black,broad.Sponges,broad.Unconsolidated
APO_001,-38.92799828,143.5194884,20210614,10:11:00,Apollo CMR,Apollo CMR,Yes,100,0,1,0,18,0,4,0,1,0
APO_002,-38.9138801,143.5098785,20210614,9:50:00,Apollo CMR,Apollo CMR,Yes,100,0,0,0,1,18,0,4,0,1
APO_003,-38.92494358,143.5159757,20210614,10:07:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,15,0,3,0,1,0
APO_004,-38.91826939,143.5171301,20210614,9:44:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,13,0,3,0,1,0
APO_005,-38.9289975,143.524945,20210614,10:15:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,13,1,3,0,1,0
APO_006,-38.91451806,143.5048102,20210614,9:54:00,Apollo CMR,Apollo CMR,Yes,0,100,1,0,16,0,3,0,1,0
APO_007,-38.91446896,143.5174201,20210614,9:47:00,Apollo CMR,Apollo CMR,Yes,0,100,1,0,15,0,3,0,1,0
APO_008,-38.91964739,143.5218293,20210614,9:42:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,13,5,3,1,1,0
APO_009,-38.92049873,143.5104578,20210614,9:59:00,Apollo CMR,Apollo CMR,Yes,0,100,0.533333333,0.516397779,13,0,3,0,1,0
APO_010,-38.92656863,143.5080651,20210614,10:03:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,9,7,2,1,0,0
APO_011,-38.93760736,143.5217666,20210614,12:00:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,16,4,3,1,1,0
APO_012,-38.94150569,143.508107,20210614,12:48:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,17,3,3,1,1,0
APO_013,-38.95304222,143.5166972,20210614,12:08:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,8,8,2,2,0,0
APO_014,-38.9446462,143.5145632,20210614,12:25:00,Apollo CMR,Apollo CMR,Yes,0,100,0.923076923,0.277350098,12,0,2,0,0,0
APO_015,-38.95322675,143.5110588,20210614,12:11:00,Apollo CMR,Apollo CMR,Yes,0,100,1,0,20,0,4,0,1,0
APO_016,-38.94471013,143.5032129,20210614,12:19:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,15,0,3,0,1,0
APO_017,-38.94677217,143.5224181,20210614,12:04:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,12,3,2,1,0,0
APO_018,-38.95379492,143.5065876,20210615,14:00:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,20,0,4,0,1,0
APO_019,-38.9383985,143.5047276,20210614,12:45:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,5,12,1,2,0,0
APO_020,-38.94549409,143.5086085,20210614,12:22:00,Apollo CMR,Apollo CMR,Yes,0,100,0.117647059,0.332105582,12,7,2,1,0,0
APO_021,-38.92904778,143.5432448,20210615,13:46:00,Apollo CMR,Apollo CMR,Yes,85,15,0,0,2,16,0,3,0,1
APO_022,-38.9200127,143.5455736,20210614,14:10:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,13,5,3,1,1,0
APO_023,-38.91789589,143.5353245,20210614,14:06:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,11,7,2,1,0,0
APO_024,-38.92686787,143.532159,20210614,13:54:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,12,5,2,1,0,0
APO_025,-38.92454577,143.5452176,20210614,14:12:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,17,2,3,0,1,0
APO_026,-38.91778033,143.5295293,20210614,14:03:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,16,3,3,1,1,0
APO_027,-38.93021295,143.5353694,20210615,13:49:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,5,15,1,3,0,1
APO_028,-38.92123832,143.5380808,20210614,14:00:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,3,17,1,3,0,1
APO_029,-38.92400328,143.5356899,20210614,13:58:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,15,1,3,0,1,0
APO_030,-38.92874003,143.548942,20210615,13:44:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,8,0,2,0,0
APO_031,-38.9428436,143.5650766,20210615,11:52:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_032,-38.94103251,143.552435,20210615,12:16:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_033,-38.94616391,143.5558281,20210615,12:13:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_034,-38.94422792,143.5684953,20210615,11:55:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_035,-38.95177587,143.5512001,20210615,12:09:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_036,-38.95040076,143.5631108,20210615,12:03:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,7,13,1,3,0,1
APO_037,-38.94662769,143.5644767,20210615,12:01:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,15,0,3,0,1,0
APO_038,-38.93762869,143.5698711,20210615,11:47:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,4,16,1,3,0,1
APO_039,-38.95153435,143.5582595,20210615,12:05:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_040,-38.93777239,143.5650812,20210615,11:50:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,12,8,2,2,0,0
APO_041,-38.92831938,143.6121707,20210615,10:15:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_042,-38.92655138,143.6211445,20210615,10:11:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_043,-38.92256159,143.6126475,20210615,9:54:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_044,-38.92342275,143.6242993,20210615,10:08:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_045,-38.91308211,143.6216389,20210615,9:43:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,20,0,4,0,1,0
APO_046,-38.9159008,143.6161287,20210615,9:46:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_047,-38.91685677,143.6251699,20210615,10:02:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_048,-38.92014837,143.6190174,20210615,9:58:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_049,-38.92032968,143.6269818,20210615,10:05:00,Apollo CMR,Apollo CMR,Yes,0,100,0,0,0,20,0,4,0,1
APO_050,-38.9180188,143.6074832,20210615,9:50:00,Apollo CMR,Apollo CMR,Yes,100,0,0.25,0.444261658,18,2,4,0,1,0
